household_type,income_group,year,market_inc,inc_before_transfers_taxes,inc_after_transfers_taxes
all_households,middle_quintile,2015,12.2,13.2,14.8
all_households,fourth_quintile,1979,22.8,22.4,22.2
all_households,fourth_quintile,1980,22.9,22.5,22.3
all_households,fourth_quintile,1981,22.9,22.6,22.3
all_households,fourth_quintile,1982,22.9,22.7,22.3
all_households,fourth_quintile,1983,22.7,22.6,22.3
all_households,fourth_quintile,1984,22.6,22.5,22.2
all_households,fourth_quintile,1985,22.2,22.2,21.9
all_households,fourth_quintile,1986,21.4,21.5,21.2
all_households,fourth_quintile,1987,22.6,22.5,22.5
all_households,fourth_quintile,1988,21.9,22.0,21.9
all_households,fourth_quintile,1989,22.0,22.0,21.9
all_households,fourth_quintile,1990,22.0,22.0,21.9
all_households,fourth_quintile,1991,22.1,22.3,22.1
all_households,fourth_quintile,1992,21.7,21.9,21.8
all_households,fourth_quintile,1993,21.8,22.0,22.1
all_households,fourth_quintile,1994,21.9,22.0,22.1
all_households,fourth_quintile,1995,21.4,21.6,21.8
all_households,fourth_quintile,1996,21.0,21.3,21.5
all_households,fourth_quintile,1997,20.4,20.8,21.1
all_households,fourth_quintile,1998,20.2,20.5,20.7
all_households,fourth_quintile,1999,19.8,20.1,20.4
all_households,fourth_quintile,2000,19.4,19.8,20.2
all_households,fourth_quintile,2001,20.6,20.9,21.2
all_households,fourth_quintile,2002,20.8,21.2,21.5
all_households,fourth_quintile,2003,20.5,20.9,21.2
all_households,fourth_quintile,2004,19.9,20.3,20.7
all_households,fourth_quintile,2005,19.2,19.7,20.0
all_households,fourth_quintile,2006,18.9,19.4,19.9
all_households,fourth_quintile,2007,18.6,19.2,19.5
all_households,fourth_quintile,2008,19.6,20.1,20.5
all_households,fourth_quintile,2009,20.5,21.1,21.4
all_households,fourth_quintile,2010,19.7,20.5,20.9
all_households,fourth_quintile,2011,19.8,20.5,20.9
all_households,fourth_quintile,2012,19.0,19.8,20.2
all_households,fourth_quintile,2013,19.6,20.4,20.9
all_households,fourth_quintile,2014,19.2,19.9,20.4
all_households,fourth_quintile,2015,19.2,19.9,20.3
all_households,highest_quintile,1979,47.3,45.3,41.8
all_households,highest_quintile,1980,47.8,45.6,42.2
all_households,highest_quintile,1981,48.0,45.9,42.8
all_households,highest_quintile,1982,48.9,46.7,44.0
all_households,highest_quintile,1983,50.0,47.7,45.0
all_households,highest_quintile,1984,49.9,47.8,45.3
all_households,highest_quintile,1985,50.7,48.6,46.2
all_households,highest_quintile,1986,52.9,50.6,48.2
all_households,highest_quintile,1987,51.3,48.8,45.6
all_households,highest_quintile,1988,52.6,50.2,47.1
all_households,highest_quintile,1989,52.1,49.8,46.8
all_households,highest_quintile,1990,51.7,49.4,46.3
all_households,highest_quintile,1991,51.3,48.8,45.5
all_households,highest_quintile,1992,52.4,49.7,46.1
all_households,highest_quintile,1993,52.2,49.5,45.5
all_households,highest_quintile,1994,52.1,49.6,45.3
all_households,highest_quintile,1995,52.5,50.0,45.6
all_households,highest_quintile,1996,53.6,51.2,46.7
all_households,highest_quintile,1997,54.6,52.2,47.9
all_households,highest_quintile,1998,55.0,52.6,48.3
all_households,highest_quintile,1999,55.9,53.5,49.1
all_households,highest_quintile,2000,56.5,54.2,49.7
all_households,highest_quintile,2001,54.7,52.1,47.5
all_households,highest_quintile,2002,53.9,51.1,46.5
all_households,highest_quintile,2003,54.8,51.8,47.2
all_households,highest_quintile,2004,56.0,53.1,48.4
all_households,highest_quintile,2005,57.5,54.7,49.9
all_households,highest_quintile,2006,58.1,55.3,50.6
all_households,highest_quintile,2007,58.1,55.5,51.0
all_households,highest_quintile,2008,56.6,53.6,48.7
all_households,highest_quintile,2009,55.4,52.0,46.9
all_households,highest_quintile,2010,56.5,52.9,47.6
all_households,highest_quintile,2011,56.8,53.2,47.9
all_households,highest_quintile,2012,59.0,55.3,49.9
all_households,highest_quintile,2013,57.2,53.9,48.1
all_households,highest_quintile,2014,58.2,55.0,48.9
all_households,highest_quintile,2015,58.0,54.7,48.5
all_households,percentiles_81_90,1979,15.8,15.2,14.7
all_households,percentiles_81_90,1980,16.0,15.4,14.8
all_households,percentiles_81_90,1981,16.0,15.5,14.8
all_households,percentiles_81_90,1982,16.2,15.7,15.1
all_households,percentiles_81_90,1983,16.1,15.7,15.1
all_households,percentiles_81_90,1984,15.9,15.5,15.0
all_households,percentiles_81_90,1985,15.9,15.6,15.0
all_households,percentiles_81_90,1986,15.3,15.0,14.5
all_households,percentiles_81_90,1987,16.2,15.7,15.1
all_households,percentiles_81_90,1988,15.7,15.3,14.8
all_households,percentiles_81_90,1989,15.7,15.4,14.8
all_households,percentiles_81_90,1990,15.7,15.4,14.8
all_households,percentiles_81_90,1991,15.8,15.4,14.8
all_households,percentiles_81_90,1992,15.7,15.3,14.8
all_households,percentiles_81_90,1993,15.8,15.4,14.9
all_households,percentiles_81_90,1994,15.8,15.4,14.9
all_households,percentiles_81_90,1995,15.5,15.2,14.7
all_households,percentiles_81_90,1996,15.3,15.0,14.6
all_households,percentiles_81_90,1997,15.0,14.8,14.5
all_households,percentiles_81_90,1998,14.8,14.6,14.2
all_households,percentiles_81_90,1999,14.6,14.4,14.0
all_households,percentiles_81_90,2000,14.3,14.2,13.8
all_households,percentiles_81_90,2001,15.1,14.8,14.3
all_households,percentiles_81_90,2002,15.3,14.9,14.4
all_households,percentiles_81_90,2003,15.4,15.0,14.4
all_households,percentiles_81_90,2004,14.9,14.6,14.1
all_households,percentiles_81_90,2005,14.4,14.1,13.8
all_households,percentiles_81_90,2006,14.2,14.0,13.7
all_households,percentiles_81_90,2007,13.9,13.8,13.5
all_households,percentiles_81_90,2008,14.6,14.4,14.0
all_households,percentiles_81_90,2009,15.4,15.2,14.6
all_households,percentiles_81_90,2010,15.1,14.8,14.2
all_households,percentiles_81_90,2011,15.2,14.9,14.3
all_households,percentiles_81_90,2012,14.7,14.4,13.9
all_households,percentiles_81_90,2013,15.2,15.0,14.5
all_households,percentiles_81_90,2014,14.8,14.6,14.1
all_households,percentiles_81_90,2015,14.8,14.6,14.1
all_households,percentiles_91_95,1979,10.1,9.7,9.2
all_households,percentiles_91_95,1980,10.3,9.9,9.3
all_households,percentiles_91_95,1981,10.4,10.0,9.4
all_households,percentiles_91_95,1982,10.4,10.0,9.5
all_households,percentiles_91_95,1983,10.5,10.1,9.7
all_households,percentiles_91_95,1984,10.4,10.0,9.6
all_households,percentiles_91_95,1985,10.4,10.0,9.6
all_households,percentiles_91_95,1986,10.2,9.8,9.4
all_households,percentiles_91_95,1987,10.6,10.1,9.6
all_households,percentiles_91_95,1988,10.2,9.8,9.4
all_households,percentiles_91_95,1989,10.4,10.0,9.5
all_households,percentiles_91_95,1990,10.3,10.0,9.5
all_households,percentiles_91_95,1991,10.5,10.1,9.6
all_households,percentiles_91_95,1992,10.5,10.0,9.5
all_households,percentiles_91_95,1993,10.5,10.1,9.6
all_households,percentiles_91_95,1994,10.5,10.1,9.5
all_households,percentiles_91_95,1995,10.5,10.1,9.5
all_households,percentiles_91_95,1996,10.4,10.0,9.5
all_households,percentiles_91_95,1997,10.4,10.0,9.6
all_households,percentiles_91_95,1998,10.2,9.9,9.4
all_households,percentiles_91_95,1999,10.1,9.8,9.3
all_households,percentiles_91_95,2000,10.0,9.7,9.2
all_households,percentiles_91_95,2001,10.4,10.0,9.4
all_households,percentiles_91_95,2002,10.5,10.1,9.5
all_households,percentiles_91_95,2003,10.5,10.0,9.5
all_households,percentiles_91_95,2004,10.3,9.9,9.3
all_households,percentiles_91_95,2005,10.1,9.8,9.3
all_households,percentiles_91_95,2006,10.0,9.7,9.2
all_households,percentiles_91_95,2007,9.8,9.6,9.1
all_households,percentiles_91_95,2008,10.4,10.0,9.3
all_households,percentiles_91_95,2009,10.8,10.3,9.6
all_households,percentiles_91_95,2010,10.6,10.1,9.4
all_households,percentiles_91_95,2011,10.7,10.2,9.5
all_households,percentiles_91_95,2012,10.4,10.0,9.3
all_households,percentiles_91_95,2013,10.7,10.2,9.6
all_households,percentiles_91_95,2014,10.6,10.2,9.5
all_households,percentiles_91_95,2015,10.6,10.1,9.4
all_households,percentiles_96_99,1979,11.9,11.3,10.4
all_households,percentiles_96_99,1980,12.1,11.5,10.5
all_households,percentiles_96_99,1981,12.1,11.5,10.6
all_households,percentiles_96_99,1982,12.2,11.6,10.8
all_households,percentiles_96_99,1983,12.4,11.7,11.1
all_households,percentiles_96_99,1984,12.2,11.7,11.1
all_households,percentiles_96_99,1985,12.4,11.8,11.2
all_households,percentiles_96_99,1986,12.6,12.0,11.4
all_households,percentiles_96_99,1987,12.7,12.0,11.2
all_households,percentiles_96_99,1988,12.6,11.9,11.2
all_households,percentiles_96_99,1989,12.8,12.1,11.4
all_households,percentiles_96_99,1990,12.7,12.0,11.3
all_households,percentiles_96_99,1991,12.9,12.2,11.3
all_households,percentiles_96_99,1992,13.1,12.3,11.3
all_households,percentiles_96_99,1993,13.1,12.3,11.3
all_households,percentiles_96_99,1994,12.9,12.3,11.3
all_households,percentiles_96_99,1995,13.2,12.5,11.4
all_households,percentiles_96_99,1996,13.2,12.5,11.5
all_households,percentiles_96_99,1997,13.3,12.7,11.6
all_households,percentiles_96_99,1998,13.3,12.7,11.6
all_households,percentiles_96_99,1999,13.5,12.8,11.7
all_households,percentiles_96_99,2000,13.4,12.8,11.7
all_households,percentiles_96_99,2001,13.3,12.6,11.5
all_households,percentiles_96_99,2002,13.6,12.7,11.5
all_households,percentiles_96_99,2003,13.5,12.7,11.5
all_households,percentiles_96_99,2004,13.5,12.7,11.5
all_households,percentiles_96_99,2005,13.7,13.0,11.8
all_households,percentiles_96_99,2006,13.8,13.1,11.9
all_households,percentiles_96_99,2007,13.7,13.0,11.8
all_households,percentiles_96_99,2008,13.6,12.8,11.5
all_households,percentiles_96_99,2009,13.8,12.8,11.3
all_households,percentiles_96_99,2010,13.8,12.8,11.3
all_households,percentiles_96_99,2011,14.1,13.0,11.6
all_households,percentiles_96_99,2012,14.1,13.1,11.6
all_households,percentiles_96_99,2013,14.3,13.3,11.8
all_households,percentiles_96_99,2014,14.4,13.5,11.9
all_households,percentiles_96_99,2015,14.3,13.3,11.7
all_households,top_1_percent,1979,9.5,8.9,7.4
all_households,top_1_percent,1980,9.5,8.9,7.6
all_households,top_1_percent,1981,9.6,8.9,7.9
all_households,top_1_percent,1982,10.2,9.4,8.6
all_households,top_1_percent,1983,11.0,10.2,9.2
all_households,top_1_percent,1984,11.4,10.6,9.6
all_households,top_1_percent,1985,12.1,11.2,10.3
all_households,top_1_percent,1986,14.8,13.8,12.9
all_households,top_1_percent,1987,11.9,11.0,9.7
all_households,top_1_percent,1988,14.1,13.1,11.7
all_households,top_1_percent,1989,13.2,12.3,11.0
all_households,top_1_percent,1990,12.9,12.0,10.8
all_households,top_1_percent,1991,12.0,11.1,9.8
all_households,top_1_percent,1992,13.2,12.1,10.5
all_households,top_1_percent,1993,12.8,11.7,9.7
all_households,top_1_percent,1994,12.9,11.8,9.7
all_households,top_1_percent,1995,13.4,12.3,10.0
all_households,top_1_percent,1996,14.8,13.6,11.1
all_households,top_1_percent,1997,15.9,14.7,12.3
all_households,top_1_percent,1998,16.8,15.5,13.2
all_households,top_1_percent,1999,17.7,16.5,14.0
all_households,top_1_percent,2000,18.8,17.5,15.0
all_households,top_1_percent,2001,15.9,14.6,12.3
all_households,top_1_percent,2002,14.5,13.3,11.1
all_households,top_1_percent,2003,15.4,14.1,11.8
all_households,top_1_percent,2004,17.4,16.0,13.5
all_households,top_1_percent,2005,19.3,17.9,15.2
all_households,top_1_percent,2006,20.1,18.5,15.9
all_households,top_1_percent,2007,20.7,19.1,16.6
all_households,top_1_percent,2008,18.0,16.4,14.0
all_households,top_1_percent,2009,15.3,13.7,11.4
all_households,top_1_percent,2010,17.1,15.3,12.7
all_households,top_1_percent,2011,16.8,15.1,12.5
all_households,top_1_percent,2012,19.8,17.8,15.0
all_households,top_1_percent,2013,17.1,15.4,12.3
all_households,top_1_percent,2014,18.5,16.7,13.3
all_households,top_1_percent,2015,18.4,16.6,13.3
hh_with_children,all_quintiles,1979,100.0,100.0,100.0
hh_with_children,all_quintiles,1980,100.0,100.0,100.0
hh_with_children,all_quintiles,1981,100.0,100.0,100.0
hh_with_children,all_quintiles,1982,100.0,100.0,100.0
hh_with_children,all_quintiles,1983,100.0,100.0,100.0
hh_with_children,all_quintiles,1984,100.0,100.0,100.0
hh_with_children,all_quintiles,1985,100.0,100.0,100.0
hh_with_children,all_quintiles,1986,100.0,100.0,100.0
hh_with_children,all_quintiles,1987,100.0,100.0,100.0
hh_with_children,all_quintiles,1988,100.0,100.0,100.0
hh_with_children,all_quintiles,1989,100.0,100.0,100.0
hh_with_children,all_quintiles,1990,100.0,100.0,100.0
hh_with_children,all_quintiles,1991,100.0,100.0,100.0
hh_with_children,all_quintiles,1992,100.0,100.0,100.0
hh_with_children,all_quintiles,1993,100.0,100.0,100.0
hh_with_children,all_quintiles,1994,100.0,100.0,100.0
hh_with_children,all_quintiles,1995,100.0,100.0,100.0
hh_with_children,all_quintiles,1996,100.0,100.0,100.0
hh_with_children,all_quintiles,1997,100.0,100.0,100.0
hh_with_children,all_quintiles,1998,100.0,100.0,100.0
hh_with_children,all_quintiles,1999,100.0,100.0,100.0
hh_with_children,all_quintiles,2000,100.0,100.0,100.0
hh_with_children,all_quintiles,2001,100.0,100.0,100.0
hh_with_children,all_quintiles,2002,100.0,100.0,100.0
hh_with_children,all_quintiles,2003,100.0,100.0,100.0
hh_with_children,all_quintiles,2004,100.0,100.0,100.0
hh_with_children,all_quintiles,2005,100.0,100.0,100.0
hh_with_children,all_quintiles,2006,100.0,100.0,100.0
hh_with_children,all_quintiles,2007,100.0,100.0,100.0
hh_with_children,all_quintiles,2008,100.0,100.0,100.0
hh_with_children,all_quintiles,2009,100.0,100.0,100.0
hh_with_children,all_quintiles,2010,100.0,100.0,100.0
hh_with_children,all_quintiles,2011,100.0,100.0,100.0
hh_with_children,all_quintiles,2012,100.0,100.0,100.0
hh_with_children,all_quintiles,2013,100.0,100.0,100.0
hh_with_children,all_quintiles,2014,100.0,100.0,100.0
hh_with_children,all_quintiles,2015,100.0,100.0,100.0
hh_with_children,lowest_quintile,1979,5.8,6.1,8.5
hh_with_children,lowest_quintile,1980,6.0,6.3,8.8
hh_with_children,lowest_quintile,1981,6.1,6.4,9.0
hh_with_children,lowest_quintile,1982,6.1,6.4,9.0
hh_with_children,lowest_quintile,1983,5.9,6.3,8.9
hh_with_children,lowest_quintile,1984,5.9,6.1,8.4
hh_with_children,lowest_quintile,1985,5.9,6.2,8.6
hh_with_children,lowest_quintile,1986,5.5,5.8,8.2
hh_with_children,lowest_quintile,1987,5.3,5.6,8.7
hh_with_children,lowest_quintile,1988,5.4,5.7,8.6
hh_with_children,lowest_quintile,1989,5.5,5.8,8.5
hh_with_children,lowest_quintile,1990,6.0,6.2,9.1
hh_with_children,lowest_quintile,1991,6.2,6.5,9.5
hh_with_children,lowest_quintile,1992,6.1,6.4,9.3
hh_with_children,lowest_quintile,1993,6.1,6.3,9.3
hh_with_children,lowest_quintile,1994,5.9,6.1,9.2
hh_with_children,lowest_quintile,1995,6.3,6.4,9.4
hh_with_children,lowest_quintile,1996,6.2,6.4,9.1
hh_with_children,lowest_quintile,1997,6.3,6.5,8.9
hh_with_children,lowest_quintile,1998,6.4,6.5,9.0
hh_with_children,lowest_quintile,1999,5.9,6.1,8.4
hh_with_children,lowest_quintile,2000,5.6,5.8,8.1
hh_with_children,lowest_quintile,2001,5.8,6.0,8.5
hh_with_children,lowest_quintile,2002,5.9,6.0,8.6
hh_with_children,lowest_quintile,2003,5.6,5.7,8.3
hh_with_children,lowest_quintile,2004,5.3,5.5,8.0
hh_with_children,lowest_quintile,2005,5.3,5.4,7.9
hh_with_children,lowest_quintile,2006,5.4,5.4,8.0
hh_with_children,lowest_quintile,2007,5.6,5.7,8.3
hh_with_children,lowest_quintile,2008,5.5,5.6,8.5
hh_with_children,lowest_quintile,2009,5.6,5.8,9.0
hh_with_children,lowest_quintile,2010,5.5,5.7,8.9
hh_with_children,lowest_quintile,2011,5.4,5.6,8.9
hh_with_children,lowest_quintile,2012,5.1,5.3,8.5
hh_with_children,lowest_quintile,2013,5.3,5.4,8.7
hh_with_children,lowest_quintile,2014,5.1,5.2,8.7
hh_with_children,lowest_quintile,2015,5.1,5.1,8.8
hh_with_children,second_quintile,1979,13.6,13.9,15.1
hh_with_children,second_quintile,1980,13.5,13.8,15.2
hh_with_children,second_quintile,1981,13.7,14.0,15.2
hh_with_children,second_quintile,1982,13.6,14.0,15.3
hh_with_children,second_quintile,1983,13.2,13.6,14.8
hh_with_children,second_quintile,1984,13.1,13.4,14.4
hh_with_children,second_quintile,1985,13.0,13.3,14.4
hh_with_children,second_quintile,1986,12.4,12.8,13.8
hh_with_children,second_quintile,1987,12.2,12.5,13.6
hh_with_children,second_quintile,1988,12.1,12.4,13.4
hh_with_children,second_quintile,1989,12.0,12.4,13.6
hh_with_children,second_quintile,1990,13.0,13.3,14.5
hh_with_children,second_quintile,1991,12.8,13.1,14.6
hh_with_children,second_quintile,1992,12.7,13.1,14.8
hh_with_children,second_quintile,1993,12.5,12.8,14.9
hh_with_children,second_quintile,1994,12.2,12.6,14.5
hh_with_children,second_quintile,1995,12.1,12.4,14.4
hh_with_children,second_quintile,1996,12.2,12.5,14.6
hh_with_children,second_quintile,1997,12.1,12.4,14.5
hh_with_children,second_quintile,1998,11.7,11.9,14.0
hh_with_children,second_quintile,1999,11.3,11.6,13.6
hh_with_children,second_quintile,2000,10.9,11.2,13.1
hh_with_children,second_quintile,2001,11.5,11.8,13.9
hh_with_children,second_quintile,2002,11.6,11.9,14.2
hh_with_children,second_quintile,2003,11.3,11.7,13.9
hh_with_children,second_quintile,2004,10.9,11.2,13.4
hh_with_children,second_quintile,2005,10.6,10.9,13.2
hh_with_children,second_quintile,2006,10.2,10.5,12.7
hh_with_children,second_quintile,2007,10.5,10.8,12.9
hh_with_children,second_quintile,2008,10.8,11.1,13.5
hh_with_children,second_quintile,2009,11.1,11.6,14.2
hh_with_children,second_quintile,2010,10.8,11.1,13.9
hh_with_children,second_quintile,2011,10.6,11.0,13.8
hh_with_children,second_quintile,2012,10.3,10.7,13.5
hh_with_children,second_quintile,2013,10.5,10.7,13.7
hh_with_children,second_quintile,2014,10.4,10.7,13.7
hh_with_children,second_quintile,2015,10.2,10.5,13.6
hh_with_children,middle_quintile,1979,20.8,20.8,20.8
hh_with_children,middle_quintile,1980,21.1,21.2,21.1
hh_with_children,middle_quintile,1981,21.4,21.5,21.2
hh_with_children,middle_quintile,1982,21.3,21.4,20.9
hh_with_children,middle_quintile,1983,20.1,20.2,19.9
hh_with_children,middle_quintile,1984,20.0,20.1,19.9
hh_with_children,middle_quintile,1985,20.2,20.2,19.9
hh_with_children,middle_quintile,1986,18.9,19.0,18.7
hh_with_children,middle_quintile,1987,19.4,19.4,19.4
hh_with_children,middle_quintile,1988,19.3,19.3,19.2
hh_with_children,middle_quintile,1989,19.0,19.1,19.0
hh_with_children,middle_quintile,1990,19.3,19.4,19.4
hh_with_children,middle_quintile,1991,19.0,19.2,19.1
hh_with_children,middle_quintile,1992,18.3,18.6,18.7
hh_with_children,middle_quintile,1993,18.4,18.6,18.8
hh_with_children,middle_quintile,1994,18.3,18.4,18.8
hh_with_children,middle_quintile,1995,17.5,17.7,18.2
hh_with_children,middle_quintile,1996,17.7,18.0,18.5
hh_with_children,middle_quintile,1997,17.2,17.4,18.0
hh_with_children,middle_quintile,1998,16.6,16.8,17.5
hh_with_children,middle_quintile,1999,16.2,16.3,17.1
hh_with_children,middle_quintile,2000,15.3,15.5,16.4
hh_with_children,middle_quintile,2001,16.2,16.4,17.3
hh_with_children,middle_quintile,2002,16.2,16.5,17.4
hh_with_children,middle_quintile,2003,15.9,16.2,17.1
hh_with_children,middle_quintile,2004,15.5,15.8,16.8
hh_with_children,middle_quintile,2005,15.2,15.5,16.5
hh_with_children,middle_quintile,2006,14.5,14.8,15.8
