household_type,income_group,year,inc_before_transfers_taxes,market_inc,wages,employee_contrib_deferred_comp,employer_contrib_health_ins,employer_share_payroll_taxes,federal_unemployment_tax,corp_tax_borne_by_labor,business_inc,capital_gains,tax_exempt_interest,taxable_interest,positive_rental_inc,dividends,corp_tax_borne_by_capital,other_market_inc,social_insurance_benefits,social_security,medicare,unemployment_insurance,workers_compensation
all_households,all_quintiles,1997,102400,93800,58300,1500,3300,3900,100,700,5700,5700,800,2800,800,1900,2200,6000,8600,5300,2800,300,200
all_households,all_quintiles,1998,107900,99300,61300,1600,3200,4100,100,700,6200,7000,800,2800,800,1900,2100,6700,8600,5400,2700,300,200
all_households,all_quintiles,1999,113300,104800,63900,1800,3200,4300,100,700,6600,8300,800,2700,800,2000,2200,7200,8500,5500,2600,300,200
all_households,all_quintiles,2000,115800,107300,65200,1900,3300,4300,100,700,6300,9200,800,2900,900,2100,2100,7500,8500,5400,2600,300,200
all_households,all_quintiles,2001,109800,100800,64700,1900,3500,4400,100,500,6300,4600,800,2800,900,1700,1500,7300,8900,5600,2800,400,200
all_households,all_quintiles,2002,105500,96100,62700,1800,3800,4200,100,400,6200,3300,700,2100,800,1400,1300,7300,9400,5700,2900,600,200
all_households,all_quintiles,2003,107100,97600,62200,2100,4200,4200,100,600,6400,3900,700,1700,800,1500,1800,7300,9600,5800,3000,600,200
all_households,all_quintiles,2004,113000,103600,63500,2200,4700,4200,100,700,7300,6100,700,1600,900,1900,2200,7500,9500,5700,3200,400,200
all_households,all_quintiles,2005,119200,109500,64000,2300,4800,4300,100,1000,8300,8200,700,2000,900,2100,3000,7800,9700,5900,3300,400,200
all_households,all_quintiles,2006,123700,113500,65200,2400,4800,4300,100,1100,8400,9200,900,2700,900,2400,3200,7900,10200,6000,3700,300,200
all_households,all_quintiles,2007,127500,117200,67300,2500,4500,4500,100,900,8000,10400,900,3100,900,2700,2800,8500,10300,6100,3700,300,100
all_households,all_quintiles,2008,118500,107700,66400,2500,4500,4400,100,600,7100,5200,900,2500,1000,2400,1700,8400,10800,6200,3900,500,100
all_households,all_quintiles,2009,111700,99200,63600,2300,4500,4300,100,400,6600,2600,800,1900,900,1800,1300,8100,12500,6900,4200,1300,100
all_households,all_quintiles,2010,113500,101000,62700,2300,4300,4200,100,600,7200,3900,800,1500,900,2000,1800,8800,12500,6900,4200,1300,100
all_households,all_quintiles,2011,113400,101200,62900,2300,4300,4200,100,600,7500,3900,800,1200,1000,2000,1700,8800,12200,6900,4200,1000,100
all_households,all_quintiles,2012,118900,106500,63500,2300,4300,4200,100,700,8700,6200,700,1100,1000,2600,2100,8900,12400,7200,4300,700,100
all_households,all_quintiles,2013,117400,105100,64100,2400,4200,4300,100,700,8400,4800,700,1000,1100,2100,2200,9000,12300,7400,4300,500,100
all_households,all_quintiles,2014,121600,109300,65400,2500,4100,4400,100,800,8800,6700,600,900,1100,2400,2400,9100,12200,7400,4300,300,100
all_households,all_quintiles,2015,125500,112800,67800,2600,4300,4500,100,800,9200,6700,600,900,1000,2500,2300,9500,12700,7800,4500,300,100
all_households,all_quintiles,2016,124500,111600,68000,2600,4300,4500,100,700,9000,5800,600,900,900,2400,2200,9500,12900,7900,4600,200,100
all_households,all_quintiles,2017,128500,115500,69500,2700,4400,4700,100,600,9500,7800,500,1000,1000,2600,1700,9700,13000,8000,4700,200,100
all_households,all_quintiles,2018,131200,118100,70700,2800,4500,4700,100,500,9300,8200,500,1200,1000,2800,1600,10200,13100,8100,4700,200,100
all_households,all_quintiles,2019,134800,121000,73200,2900,4700,4900,100,500,9200,7600,500,1300,1000,2900,1500,10600,13700,8300,5000,200,100
all_households,all_quintiles,2020,137000,121400,72600,3000,4600,4800,100,500,9100,9700,500,1100,1100,2800,1500,10000,15700,8500,5800,1200,100
all_households,all_quintiles,2021,148700,133600,73800,3000,4500,4900,100,600,11400,16700,500,800,1000,3100,1800,11500,15100,8300,5900,700,100
all_households,all_quintiles,2022,143000,128200,74700,3100,4300,5000,0,700,11200,9500,400,1000,1200,3100,2200,11700,14800,8500,6000,200,100
all_households,lowest_quintile,1979,20500,9000,5200,0,300,300,0,100,400,100,0,700,200,100,200,1500,11500,8600,2500,200,300
all_households,lowest_quintile,1980,19900,8100,4900,0,200,300,0,100,200,100,0,700,100,100,200,1300,11800,8500,2700,400,200
all_households,lowest_quintile,1981,19900,7900,4800,0,200,300,0,0,100,100,0,700,100,100,100,1200,12000,8700,2800,300,200
all_households,lowest_quintile,1982,19700,7400,4500,0,200,300,0,0,100,100,0,800,100,100,100,1000,12400,8500,3000,500,300
all_households,lowest_quintile,1983,19300,7000,4300,0,200,300,0,0,100,100,0,800,100,100,100,900,12300,8300,3100,500,300
all_households,lowest_quintile,1984,20200,8500,5000,0,300,300,0,0,100,100,0,900,200,100,100,1300,11800,8200,3100,200,300
all_households,lowest_quintile,1985,20300,8100,4900,0,200,300,0,0,200,0,0,900,100,100,100,1100,12200,8400,3300,300,300
all_households,lowest_quintile,1986,20300,8000,4800,0,300,300,0,0,200,100,0,800,100,100,100,1200,12200,8300,3400,300,300
all_households,lowest_quintile,1987,19600,7200,4000,0,300,300,0,0,300,0,0,700,100,100,200,1100,12400,8400,3500,200,300
all_households,lowest_quintile,1988,20200,7500,4300,0,200,300,0,0,300,0,0,700,100,100,100,1200,12800,8700,3600,200,400
all_households,lowest_quintile,1989,21000,8200,4700,0,200,300,0,0,300,0,0,700,100,100,100,1300,12800,8600,3600,200,400
all_households,lowest_quintile,1990,21800,8600,5000,0,200,400,0,0,400,0,0,800,100,100,100,1300,13100,8700,3900,200,400
all_households,lowest_quintile,1991,22100,8500,5000,0,200,400,0,0,300,0,0,800,100,100,100,1300,13700,8900,4100,300,400
all_households,lowest_quintile,1992,22600,8200,5000,0,200,400,0,0,300,0,0,600,100,100,100,1100,14500,9200,4300,600,300
all_households,lowest_quintile,1993,23000,8000,4700,0,200,400,0,0,400,0,0,500,100,100,200,1200,15100,9600,4800,400,300
all_households,lowest_quintile,1994,23200,7700,4500,0,300,300,0,100,400,0,0,400,100,100,200,1200,15500,10000,4900,200,400
all_households,lowest_quintile,1995,24500,8800,5300,0,300,400,0,100,500,0,0,500,100,100,200,1300,15700,10000,5200,200,300
all_households,lowest_quintile,1996,24400,9000,5500,0,300,400,0,100,500,0,0,400,100,100,200,1300,15300,9600,5200,300,200
all_households,lowest_quintile,1997,25700,9900,6100,0,400,500,0,100,600,100,0,400,100,100,100,1400,15900,10000,5400,200,300
all_households,lowest_quintile,1998,27100,11200,6900,0,400,500,0,100,700,100,0,500,100,100,200,1600,15800,10100,5300,200,200
all_households,lowest_quintile,1999,27900,12100,7300,0,400,500,0,100,1000,100,0,500,100,200,200,1800,15700,10100,5100,200,300
all_households,lowest_quintile,2000,26700,11400,6800,0,500,500,0,100,800,100,0,400,100,200,100,1700,15300,9800,5000,200,300
all_households,lowest_quintile,2001,26100,11000,6700,0,400,500,0,0,800,0,0,500,100,200,100,1500,15100,9200,5400,300,200
all_households,lowest_quintile,2002,26400,10400,6200,0,400,500,0,0,800,-100,0,400,100,200,100,1700,15900,9500,5700,500,200
all_households,lowest_quintile,2003,26200,9900,5900,0,400,400,0,100,800,-100,0,400,100,200,100,1600,16300,9600,5900,500,300
all_households,lowest_quintile,2004,26200,10200,6100,0,400,400,0,100,800,0,0,300,100,200,100,1600,16100,9400,6100,300,300
all_households,lowest_quintile,2005,26900,10700,6500,0,400,500,0,100,800,0,0,300,100,100,100,1700,16200,9500,6200,300,300
all_households,lowest_quintile,2006,28600,11500,6900,0,500,500,0,100,1000,0,0,300,100,100,200,1700,17100,9600,7000,300,300
all_households,lowest_quintile,2007,29500,13100,7900,0,400,600,0,100,1100,100,0,400,100,100,100,2100,16300,9100,6700,300,200
all_households,lowest_quintile,2008,29800,12000,7200,0,400,500,0,100,900,0,0,400,100,200,100,2000,17900,9900,7300,500,200
all_households,lowest_quintile,2009,30400,10300,6000,0,400,400,0,0,1000,-100,0,300,100,200,100,1700,20100,10700,7800,1400,200
all_households,lowest_quintile,2010,29400,10000,5900,0,300,400,0,100,1100,-100,0,200,100,100,100,1700,19400,10200,7500,1600,200
all_households,lowest_quintile,2011,29500,10200,6000,0,300,400,0,100,1100,-100,0,200,100,200,100,1800,19300,10500,7600,1100,100
all_households,lowest_quintile,2012,29000,9500,5500,0,300,400,0,100,1100,0,0,100,100,100,100,1700,19500,10800,7700,700,200
all_households,lowest_quintile,2013,29500,10500,6000,0,300,400,0,100,1200,0,0,100,100,100,100,1900,19000,10900,7400,500,200
all_households,lowest_quintile,2014,28600,10000,5800,0,300,400,0,100,1200,0,0,100,100,100,100,1800,18600,10700,7500,200,200
all_households,lowest_quintile,2015,30300,10600,6100,0,300,500,0,100,1200,0,0,100,100,100,100,2000,19700,11500,7800,200,200
all_households,lowest_quintile,2016,30600,10500,5900,0,300,400,0,100,1300,0,0,100,100,100,100,2000,20100,11700,8100,200,200
all_households,lowest_quintile,2017,30800,10500,5900,0,300,400,0,0,1400,0,0,100,100,100,100,2000,20200,11700,8200,100,200
all_households,lowest_quintile,2018,31200,11200,6400,0,500,500,0,0,1200,100,0,100,100,100,100,2000,20000,11700,8000,100,100
all_households,lowest_quintile,2019,33800,12700,7200,0,600,500,0,0,1300,100,0,100,100,200,100,2300,21100,12200,8600,100,200
all_households,lowest_quintile,2020,31800,10000,5500,0,600,400,0,0,900,100,0,100,100,200,100,1900,21800,11300,9200,1100,200
all_households,lowest_quintile,2021,31800,10000,5500,0,600,400,0,0,900,100,0,100,100,100,100,2000,21800,11400,9600,700,100
all_households,lowest_quintile,2022,34000,11500,6200,100,500,500,0,100,1100,100,0,100,100,200,100,2500,22500,12400,9800,200,100
all_households,second_quintile,1979,45000,39400,27900,0,1600,1600,100,400,1400,300,0,1900,300,300,700,3100,5500,4000,1000,400,200
all_households,second_quintile,1980,43400,37000,26000,0,1200,1500,100,300,1200,200,0,2300,300,300,600,3000,6400,4300,1100,800,200
all_households,second_quintile,1981,43200,36400,25000,0,1200,1600,100,200,1200,200,0,2700,300,400,400,3100,6700,4700,1300,600,200
all_households,second_quintile,1982,42500,34800,23700,0,1300,1500,100,100,900,200,0,3100,300,400,300,2700,7700,5000,1500,900,200
all_households,second_quintile,1983,41600,33500,22300,0,1300,1400,100,200,1100,300,0,3000,200,400,400,2800,8100,5300,1700,900,200
all_households,second_quintile,1984,44100,36600,24200,100,1400,1600,100,200,1200,200,0,3100,300,400,400,3300,7600,5100,1700,600,200
all_households,second_quintile,1985,44300,36500,24100,100,1400,1600,100,200,1200,200,0,3100,300,400,400,3300,7800,5200,1800,500,200
all_households,second_quintile,1986,44900,36400,23500,100,1400,1600,100,200,1300,300,0,3000,300,400,400,3800,8500,5600,2100,500,300
all_households,second_quintile,1987,43800,35500,22400,100,1500,1600,100,200,1500,300,0,2700,300,500,600,3800,8300,5700,2100,400,200
all_households,second_quintile,1988,44500,36200,22500,100,1400,1600,100,200,1600,100,0,2700,300,500,500,4400,8300,5600,2100,300,300
all_households,second_quintile,1989,45200,36600,22800,100,1500,1700,100,200,1600,200,0,2700,300,500,500,4400,8500,5700,2100,400,300
all_households,second_quintile,1990,46600,37700,24000,100,1500,1800,100,200,1500,100,0,2700,300,500,500,4300,8900,5800,2300,400,300
all_households,second_quintile,1991,45600,36200,22700,100,1400,1700,100,200,1500,200,0,2500,300,500,500,4600,9400,6000,2400,600,300
all_households,second_quintile,1992,45300,35200,22000,100,1500,1600,100,200,1400,200,0,2000,300,500,500,4700,10100,6300,2600,800,300
all_households,second_quintile,1993,45800,35300,22000,200,1600,1600,100,200,1500,200,100,1600,300,500,500,4900,10400,6600,2900,700,300
all_households,second_quintile,1994,46000,35900,22100,200,1800,1700,100,300,1400,200,100,1500,300,500,600,5200,10200,6500,2900,500,300
all_households,second_quintile,1995,48400,38200,23900,200,2000,1800,100,300,1500,200,100,1600,300,500,600,5200,10200,6500,3100,400,200
all_households,second_quintile,1996,48600,38300,23700,300,1900,1800,100,300,1500,300,100,1600,300,500,600,5400,10400,6500,3300,400,200
all_households,second_quintile,1997,49700,39700,25000,300,1800,1900,100,300,1600,400,0,1500,300,500,500,5300,10000,6200,3300,300,200
all_households,second_quintile,1998,51500,41800,26600,300,1900,2000,100,300,1500,400,100,1500,300,500,500,5800,9700,6000,3100,300,200
all_households,second_quintile,1999,53000,43500,27400,400,1900,2100,100,300,1800,500,100,1500,300,500,500,6100,9500,6000,3000,400,200
all_households,second_quintile,2000,52300,43100,27300,400,2000,2100,100,300,1800,500,0,1400,300,500,400,6100,9200,5700,3000,300,200
all_households,second_quintile,2001,53000,42400,27000,400,2000,2000,100,200,1500,200,100,1500,300,500,300,6300,10600,6600,3300,500,200
all_households,second_quintile,2002,52100,41000,26000,200,2100,1900,100,200,1700,0,100,1100,300,500,300,6500,11100,6700,3500,700,200
all_households,second_quintile,2003,51600,40300,25500,200,2200,1900,100,200,1600,0,100,900,300,400,300,6500,11300,6800,3500,700,200
all_households,second_quintile,2004,52600,41800,26300,200,2500,2000,100,300,1700,100,100,700,300,400,400,6700,10800,6400,3700,500,200
all_households,second_quintile,2005,53800,42800,27200,300,2600,2000,100,400,1700,200,0,800,300,400,400,6500,10900,6600,3700,400,200
all_households,second_quintile,2006,54800,43500,27700,300,2600,2100,100,500,1800,200,100,900,300,400,400,6300,11200,6700,4000,400,200
all_households,second_quintile,2007,57500,45900,29300,300,2500,2200,100,400,1600,400,100,1000,300,400,400,6900,11600,6900,4100,400,200
all_households,second_quintile,2008,55500,43400,28000,300,2300,2100,100,200,1500,100,100,900,300,500,300,6800,12100,7000,4300,600,200
all_households,second_quintile,2009,54300,39600,25000,200,2100,1900,100,200,1700,-100,100,800,300,400,200,6700,14700,8100,4800,1600,200
all_households,second_quintile,2010,53500,39000,24600,200,1900,1800,100,200,1700,0,100,500,300,400,200,7000,14500,8000,4800,1500,200
all_households,second_quintile,2011,53000,39400,25000,200,1900,1900,100,200,1700,100,100,400,300,400,200,6900,13600,7800,4600,1200,100
all_households,second_quintile,2012,52800,38800,24300,200,2000,1800,100,300,1900,0,100,300,300,500,200,6800,14000,8100,4800,900,100
all_households,second_quintile,2013,53800,40000,25000,200,2000,1900,100,300,1900,200,100,300,300,400,300,7200,13700,8300,4700,600,200
all_households,second_quintile,2014,53800,40500,25800,300,2000,1900,100,300,2000,300,0,200,300,300,300,6800,13300,8200,4600,400,100
all_households,second_quintile,2015,56400,42800,27000,300,2100,2000,100,300,2000,200,0,200,300,400,300,7500,13700,8400,4800,300,200
all_households,second_quintile,2016,57400,43300,27200,300,2200,2100,100,300,2100,200,0,200,300,400,300,7800,14100,8600,5000,300,200
all_households,second_quintile,2017,57900,43700,27500,300,2200,2100,0,200,2000,300,0,200,300,400,200,7800,14200,8800,5000,300,100
all_households,second_quintile,2018,59400,45300,28700,300,2600,2200,0,200,2000,300,100,300,300,400,200,7800,14100,8900,4900,200,200
all_households,second_quintile,2019,62700,48000,30500,400,2800,2300,0,200,2000,300,0,300,300,500,200,8100,14700,9000,5300,200,200
all_households,second_quintile,2020,61900,43800,27300,400,2500,2100,0,200,1600,400,100,300,400,500,200,7900,18100,9700,6500,1700,200
all_households,second_quintile,2021,61700,45300,28500,400,2600,2200,0,200,1900,500,0,200,300,400,200,8000,16400,9100,6200,1000,100
all_households,second_quintile,2022,63300,47300,30000,400,2400,2300,0,300,1900,300,0,200,400,500,200,8400,16000,9300,6300,300,100
all_households,middle_quintile,1979,68000,64600,49400,0,2600,2800,200,700,1900,400,0,2000,300,400,800,3100,3400,2300,600,400,200
all_households,middle_quintile,1980,65400,61600,47000,0,2100,2700,200,500,1800,400,0,2500,300,400,700,3000,3800,2400,600,600,100
all_households,middle_quintile,1981,65300,61200,46200,0,2200,2900,100,400,1500,300,0,3200,300,500,500,3000,4100,2700,800,500,100
all_households,middle_quintile,1982,64600,59500,44200,0,2300,2800,200,200,1300,300,0,3700,300,600,400,3200,5100,3200,1000,700,200
all_households,middle_quintile,1983,63700,58500,42800,0,2400,2700,200,300,1500,400,0,3400,300,500,400,3500,5200,3300,1000,700,200
all_households,middle_quintile,1984,67300,62200,44600,200,2400,2900,200,400,2000,500,100,3800,400,600,600,3600,5100,3400,1100,500,200
all_households,middle_quintile,1985,67700,62500,44800,300,2500,3000,200,300,1600,400,100,3700,400,700,500,4000,5200,3400,1200,500,200
all_households,middle_quintile,1986,69100,63600,45300,300,2500,3100,200,400,2000,700,100,3300,300,700,500,4200,5500,3500,1300,500,200
all_households,middle_quintile,1987,68400,63200,45100,300,2700,3100,200,500,2000,500,100,3000,300,700,700,4100,5100,3300,1200,400,200
all_households,middle_quintile,1988,69300,64400,45300,400,2800,3300,200,500,2100,400,100,3000,300,700,700,4700,4900,3100,1200,400,200
all_households,middle_quintile,1989,69800,64900,45400,400,2900,3300,100,400,2100,400,100,3300,300,700,700,4700,4900,3100,1200,300,200
all_households,middle_quintile,1990,70400,65200,45500,500,2900,3400,100,400,2100,200,100,3100,400,700,600,5200,5200,3200,1400,400,200
all_households,middle_quintile,1991,68900,63100,43700,400,2800,3200,100,400,1800,300,100,3000,400,700,600,5600,5800,3400,1500,600,200
all_households,middle_quintile,1992,69400,63400,43600,500,3100,3200,100,400,2100,400,100,2300,400,700,600,5800,5900,3400,1600,700,200
all_households,middle_quintile,1993,69400,63600,44000,600,3500,3300,100,500,1900,400,100,1600,400,600,600,5900,5800,3300,1700,600,300
all_households,middle_quintile,1994,70000,64300,44300,600,3600,3300,100,500,2000,400,200,1500,400,700,700,6000,5600,3200,1700,500,200
all_households,middle_quintile,1995,72300,66600,45600,800,3800,3400,100,600,2000,400,200,1800,400,700,800,6300,5600,3200,1800,400,200
all_households,middle_quintile,1996,73400,67200,45800,900,3700,3500,100,600,1900,500,100,1900,400,700,800,6300,6100,3500,2100,400,200
all_households,middle_quintile,1997,74900,68800,46900,900,3400,3500,100,600,1900,800,100,1800,400,800,800,6800,6100,3500,2100,400,200
all_households,middle_quintile,1998,77500,71400,48800,1100,3400,3700,100,600,2100,800,100,1800,400,700,700,7100,6100,3600,2000,300,200
all_households,middle_quintile,1999,80400,74000,50800,1200,3400,3900,100,600,2100,1000,100,1600,300,800,700,7500,6300,3900,2000,300,100
all_households,middle_quintile,2000,80400,73900,50500,1200,3400,3800,100,600,2000,1000,100,1700,400,800,600,7700,6500,4000,2000,300,100
all_households,middle_quintile,2001,81100,73500,50300,1300,3600,3800,100,400,2100,300,100,1800,400,700,500,8100,7600,4800,2200,500,200
all_households,middle_quintile,2002,79100,71100,49100,800,3900,3700,100,300,2000,200,100,1300,400,600,400,8200,8000,4800,2300,700,200
all_households,middle_quintile,2003,79100,71000,48500,800,4200,3600,100,500,2000,100,200,1000,400,600,500,8500,8100,4900,2300,700,200
all_households,middle_quintile,2004,81400,73300,49400,900,4800,3700,100,600,2300,300,100,900,400,700,500,8600,8100,5000,2400,500,200
all_households,middle_quintile,2005,82600,74500,49900,900,5000,3700,100,800,2300,500,100,1000,400,600,600,8600,8100,5000,2500,400,100
all_households,middle_quintile,2006,83500,74900,50100,900,5000,3800,100,800,2200,600,100,1200,400,600,700,8400,8600,5200,2800,400,200
all_households,middle_quintile,2007,86400,77700,52300,1000,4600,3900,100,700,2200,700,100,1400,400,700,600,8900,8700,5200,2900,400,100
all_households,middle_quintile,2008,83600,74400,50500,1000,4500,3800,100,400,2000,200,100,1200,400,700,400,9000,9200,5400,3000,600,200
all_households,middle_quintile,2009,82300,71000,47700,800,4400,3600,100,300,2000,0,200,1000,400,600,300,9500,11300,6200,3400,1500,100
all_households,middle_quintile,2010,81200,69700,46500,800,4300,3500,100,400,2000,100,100,700,500,600,300,9800,11500,6400,3500,1500,100
all_households,middle_quintile,2011,80500,69600,46100,800,4300,3400,100,400,2200,200,100,600,400,700,400,9800,10900,6200,3400,1100,100
all_households,middle_quintile,2012,80700,69600,46000,800,4300,3400,100,500,2300,200,100,400,500,600,300,10100,11100,6600,3600,900,100
all_households,middle_quintile,2013,82400,71400,47300,900,4200,3600,100,500,2200,400,100,300,400,600,400,10300,11000,6700,3500,600,100
all_households,middle_quintile,2014,83900,72900,48300,900,4200,3600,100,600,2300,600,100,300,400,600,500,10400,11000,6800,3600,400,100
all_households,middle_quintile,2015,86700,75500,49900,1000,4400,3700,100,600,2400,500,100,300,400,700,500,11000,11200,7100,3700,300,100
all_households,middle_quintile,2016,87000,76000,50700,1000,4500,3800,100,500,2300,400,100,300,400,600,400,10900,11000,6900,3700,300,100
all_households,middle_quintile,2017,88700,77500,51600,1000,4600,3900,100,400,2500,700,100,300,400,700,300,10900,11200,7000,3800,300,100
all_households,middle_quintile,2018,90100,78600,52400,1100,4600,4000,100,400,2400,700,100,300,400,700,300,11100,11400,7200,3900,300,100
all_households,middle_quintile,2019,93600,81600,54600,1200,4900,4100,100,400,2400,700,100,400,400,700,300,11300,11900,7400,4100,200,200
all_households,middle_quintile,2020,93800,79200,52000,1200,4700,3900,100,400,2200,800,100,400,500,800,300,11800,14600,8000,5100,1400,100
all_households,middle_quintile,2021,94000,80600,53100,1200,4600,4000,100,400,2600,1200,100,200,400,700,300,11500,13400,7600,4900,800,100
all_households,middle_quintile,2022,95300,82300,54700,1400,4500,4200,100,500,2600,600,100,300,400,800,400,11900,13000,7600,5000,300,100
all_households,fourth_quintile,1979,92100,89500,70100,0,3200,3800,200,900,2700,700,0,2700,400,600,1100,3000,2500,1700,400,300,100
all_households,fourth_quintile,1980,89700,86900,68100,0,2800,3700,200,700,2400,700,0,3300,400,600,900,3000,2800,1700,500,500,100
all_households,fourth_quintile,1981,90800,87700,68300,0,2900,4100,200,600,1900,600,0,3900,400,800,700,3200,3100,2000,600,500,100
all_households,fourth_quintile,1982,89900,86300,66600,0,3100,4000,200,400,1900,600,100,4500,400,900,500,3400,3600,2200,700,600,100
all_households,fourth_quintile,1983,89600,85800,65100,0,3300,4000,200,500,2000,800,100,4300,400,900,600,3700,3800,2400,800,500,100
all_households,fourth_quintile,1984,94200,90900,67800,400,3200,4300,200,600,2700,800,100,4600,500,900,700,4000,3400,2100,800,400,100
all_households,fourth_quintile,1985,94300,91000,68300,600,3400,4500,200,500,2200,900,100,4400,400,900,700,4000,3400,2000,800,300,200
all_households,fourth_quintile,1986,97500,94100,70600,700,3400,4800,200,600,2300,1400,100,3900,400,900,700,4300,3400,2000,900,400,100
all_households,fourth_quintile,1987,98400,95100,70400,800,3800,4700,200,700,2800,800,200,3600,500,1100,900,4600,3400,2100,800,300,100
all_households,fourth_quintile,1988,99200,95900,70200,900,4000,5000,200,700,2900,600,300,3600,400,1000,900,5200,3400,2100,800,300,200
all_households,fourth_quintile,1989,100400,96700,70300,1000,4100,5000,200,700,3000,700,200,3900,400,1000,900,5400,3600,2300,900,300,200
all_households,fourth_quintile,1990,99700,95900,69800,1000,4200,5100,200,600,2800,500,300,3800,300,1000,800,5600,3800,2400,1000,300,200
all_households,fourth_quintile,1991,98900,94900,69400,1000,4100,5100,200,600,2500,500,300,3400,400,900,700,5700,4100,2500,900,500,200
all_households,fourth_quintile,1992,99900,95400,69400,1300,4500,5100,200,600,2800,600,300,2400,500,900,800,6200,4500,2700,1000,600,200
all_households,fourth_quintile,1993,100600,96100,69500,1300,5100,5100,200,700,2600,800,300,1900,500,900,900,6300,4500,2600,1100,500,200
all_households,fourth_quintile,1994,101800,97700,70800,1500,5300,5200,200,800,2600,700,300,1700,500,900,900,6300,4100,2400,1100,400,200
all_households,fourth_quintile,1995,104200,99600,71000,1800,5400,5300,100,900,2700,800,300,2100,500,1000,1000,6800,4500,2700,1300,400,200
all_households,fourth_quintile,1996,106100,101500,72200,2100,5200,5400,100,900,2700,1000,200,2000,500,1000,1000,7200,4600,2800,1300,300,200
all_households,fourth_quintile,1997,108900,103900,73600,2100,4800,5500,100,900,2900,1300,300,2100,500,1100,1000,7600,5000,3000,1400,300,200
all_households,fourth_quintile,1998,113100,108200,76800,2400,4700,5800,100,900,3100,1500,200,2100,500,1000,900,8000,4900,3100,1300,300,200
all_households,fourth_quintile,1999,116500,111600,78700,2700,4600,5900,100,900,3100,1800,200,2000,600,1200,1000,8700,4900,3200,1300,300,100
all_households,fourth_quintile,2000,118000,112900,79700,2900,4800,6000,100,900,3000,1800,200,2100,500,1100,900,8800,5000,3300,1300,300,100
all_households,fourth_quintile,2001,116900,111500,79300,2900,5000,6000,100,600,3000,600,300,2000,600,1000,600,9400,5400,3400,1400,400,100
all_households,fourth_quintile,2002,114800,109200,78900,2100,5400,5900,100,500,2800,400,300,1500,500,900,500,9500,5600,3300,1400,700,100
all_households,fourth_quintile,2003,115900,110300,78300,2400,6100,5800,100,700,3000,400,300,1200,600,800,700,9800,5700,3500,1500,600,100
all_households,fourth_quintile,2004,119400,113800,79900,2500,7000,6000,100,1000,3300,700,300,1000,500,900,700,9900,5700,3500,1600,500,100
